Abbreviated.Name,CO3,IGKC,CO4A,APOA1,IGHM,IGHG1,APOE,IGLL5,CLUS,IGHA1,VTNC,ITIH4,A1AT,APOB,THRB,CO4B,HV305,ANT3,HRG,APOA2,C4BPA,TTHY,IGHG3,A2MG,IGHG2,KV302,LAC2,KNG1,APOC3,HPTR,IPSP,SAMP,GELS,GFAP,TRFE,PRG4,APOC4,A2AP,CFAH,APOA4,HV304,ITIH2,FA5,MUCB,PF4V,HEP2,SEPP1,SAA4,HBB,FHR1,SAA,CD5L,APOH,PLF4,G3P,CO9,IC1,FA11,APOC1,FETUA,KLKB1,APOL1,IGHA2,ITIH1,AMBP,IGJ,IGHG4,HPT,AACT,LBP,PROS,APOC2,SPP24,IBP4,C1R,CBPD,CI174,FA12,HGFA,FA10,VTDB,C1QB,PLMN,HABP2,HV302,C1QC,CFAB,FA9,ANGI,HEMO,HV303,CBPB2,LV403,TLN1,ZPI,C1S,PON1,TRFL,S10A9,HBA,PROC,C4BPB,TFPI1,IBP2,COIA1,KV402,CERU,PROZ,PLEK,ANGT,MYH9,FIBA,H2A1B,DCD,FHR5,TETN,CBPN,KV101,ASPN,LV302,URP2,TSP1,IGF2,APOF,APOA,KCRM,FA7,CFAI,GAS6,KV105,A1AG1,DSG1,FA8,APOA5,CFAD,DEF1,KV104,SDPR,H2A2A,CXCL7,KV201,APOD,S10A8,A1BG,FCN1,FCN2,ITIH3,CRP,PROP,RAP1A,ZA2G,KPYM,CO7,CO6,HV102,IBP5,CAMP,ENPL,RIPK1,FHR2,PIP,ALS,PGRP2,LV102,FILA2,COF1,CO2,LV301,LUM,MARCO,PRAP1,DESP,VIE2,C1QA,LYSC,PGCA,APOM,ITA2B,ORF23,CD180,HV207,RNAS4,FINC,PLAK,CO8A,HV320,CO5,IBP3,OR5BL,NRP1,CYTC,MASP1,PEDF,ITB3,H2B1B,CO8B,PABP4,CALL6,CCL18,KIF2C,AFAM,RARR2,FETUB,UL87,SC24A,FCN3,RDH14,KV204,H2AY,LG3BP,TRAF7,LCAT,NP1L1,IGHD,RL40,PI42A,IGF1,COMP,SPEF2,OR5F1,RBM8A,HV319,MYH10,A4,SYMPK,DERM,MOES,KV303,MUC16,TARSH,A1AG2,OR5L2,LIMS1,TMPS6,KV121,GPX3,BIN2,PASK,KAIN,MASP2,CAP7,EF1A1,NEK11,RETN,S10A7,KV119,POLG,STK33,OR8G1,SYNE2,TBA1A,ABCBB,NFYC,FBN1
Full.Name,Complement C3 ,Ig kappa chain C region ,Complement C4-A ,Apolipoprotein A-I ,Ig mu chain C region ,Ig gamma-1 chain C region ,Apolipoprotein E ,Immunoglobulin lambda-like polypeptide 5 ,Clusterin ,Ig alpha-1 chain C region ,Vitronectin ,Inter-alpha-trypsin inhibitor heavy chain H4 ,Alpha-1-antitrypsin ,Apolipoprotein B-100 ,Prothrombin ,Complement C4-B ,Ig heavy chain V-III region BRO ,Antithrombin-III ,Histidine-rich glycoprotein ,Apolipoprotein A-II ,C4b-binding protein alpha chain ,Transthyretin ,Ig gamma-3 chain C region ,Alpha-2-macroglobulin ,Ig gamma-2 chain C region ,Ig kappa chain V-III region SIE ,Ig lambda-2 chain C regions ,Kininogen-1 ,Apolipoprotein C-III ,Haptoglobin-related protein ,Plasma serine protease inhibitor ,Serum amyloid P-component ,Gelsolin ,Glial fibrillary acidic protein ,Serotransferrin ,Proteoglycan 4 ,Apolipoprotein C-IV ,Alpha-2-antiplasmin ,Complement factor H ,Apolipoprotein A-IV ,Ig heavy chain V-III region TIL ,Inter-alpha-trypsin inhibitor heavy chain H2 ,Coagulation factor V ,Ig mu heavy chain disease protein ,Platelet factor 4 variant ,Heparin cofactor 2 ,Selenoprotein P ,Serum amyloid A-4 protein ,Hemoglobin subunit beta ,Complement factor H-related protein 1 ,Serum amyloid A protein ,CD5 antigen-like ,Beta-2-glycoprotein 1 ,Platelet factor 4 ,Glyceraldehyde-3-phosphate dehydrogenase ,Complement component C9 ,Plasma protease C1 inhibitor ,Coagulation factor XI ,Apolipoprotein C-I ,Alpha-2-HS-glycoprotein ,Plasma kallikrein ,Apolipoprotein L1 ,Ig alpha-2 chain C region ,Inter-alpha-trypsin inhibitor heavy chain H1 ,Protein AMBP ,Immunoglobulin J chain ,Ig gamma-4 chain C region ,Haptoglobin ,Alpha-1-antichymotrypsin ,Lipopolysaccharide-binding protein ,Vitamin K-dependent protein S ,Apolipoprotein C-II ,Secreted phosphoprotein 24 ,Insulin-like growth factor-binding protein 4 ,Complement C1r subcomponent ,Carboxypeptidase D ,Uncharacterized protein C9orf174 ,Coagulation factor XII ,Hepatocyte growth factor activator ,Coagulation factor X ,Vitamin D-binding protein ,Complement C1q subcomponent subunit B ,Plasminogen ,Hyaluronan-binding protein 2 ,Ig heavy chain V-III region WEA ,Complement C1q subcomponent subunit C ,Complement factor B ,Coagulation factor IX ,Angiogenin ,Hemopexin ,Ig heavy chain V-III region VH26 ,Carboxypeptidase B2 ,Ig lambda chain V-IV region Hil ,Talin-1 ,Protein Z-dependent protease inhibitor ,Complement C1s subcomponent ,Serum paraoxonase/arylesterase 1 ,Lactotransferrin ,Protein S100-A9 ,Hemoglobin subunit alpha ,Vitamin K-dependent protein C ,C4b-binding protein beta chain ,Tissue factor pathway inhibitor ,Insulin-like growth factor-binding protein 2 ,Collagen alpha-1(XVIII) chain ,Ig kappa chain V-IV region Len ,Ceruloplasmin ,Vitamin K-dependent protein Z ,Pleckstrin ,Angiotensinogen ,Myosin-9 ,Fibrinogen alpha chain ,Histone H2A type 1-B/E ,Dermcidin ,Complement factor H-related protein 5 ,Tetranectin ,Carboxypeptidase N catalytic chain ,Ig kappa chain V-I region AG ,Asporin ,Ig lambda chain V-III region LOI ,Fermitin family homolog 3 ,Thrombospondin-1 ,Insulin-like growth factor II ,Apolipoprotein F ,Apolipoprotein(a) ,Creatine kinase M-type ,Coagulation factor VII ,Complement factor I ,Growth arrest-specific protein 6 ,Ig kappa chain V-I region DEE ,Alpha-1-acid glycoprotein 1 ,Desmoglein-1 ,Coagulation factor VIII ,Apolipoprotein A-V ,Complement factor D ,Neutrophil defensin 1 ,Ig kappa chain V-I region CAR ,Serum deprivation-response protein ,Histone H2A type 2-A ,Platelet basic protein ,Ig kappa chain V-II region Cum ,Apolipoprotein D ,Protein S100-A8 ,Alpha-1B-glycoprotein ,Ficolin-1 ,Ficolin-2 ,Inter-alpha-trypsin inhibitor heavy chain H3 ,C-reactive protein ,Properdin ,Ras-related protein Rap-1A ,Zinc-alpha-2-glycoprotein ,Pyruvate kinase isozymes M1/M2 ,Complement component C7 ,Complement component C6 ,Ig heavy chain V-I region HG3 ,Insulin-like growth factor-binding protein 5 ,Cathelicidin antimicrobial peptide ,Endoplasmin ,Receptor-interacting serine/threonine-protein kinase 1 ,Complement factor H-related protein 2 ,Prolactin-inducible protein ,Insulin-like growth factor-binding protein complex acid labile subunit ,N-acetylmuramoyl-L-alanine amidase ,Ig lambda chain V-I region HA ,Filaggrin-2 ,Cofilin-1 ,Complement C2 ,Ig lambda chain V-III region SH ,Lumican ,Macrophage receptor MARCO ,Proline-rich acidic protein 1 ,Desmoplakin ,45 kDa immediate-early protein 2 ,Complement C1q subcomponent subunit A ,Lysozyme C ,Aggrecan core protein ,Apolipoprotein M ,Integrin alpha-IIb ,Probable protein VP2 ,CD180 antigen ,Ig heavy chain V-II region NEWM ,Ribonuclease 4 ,Fibronectin ,Junction plakoglobin ,Complement component C8 alpha chain ,Ig heavy chain V-III region GAL ,Complement C5 ,Insulin-like growth factor-binding protein 3 ,Olfactory receptor 5B21 ,Neuropilin-1 ,Cystatin-C ,Mannan-binding lectin serine protease 1 ,Pigment epithelium-derived factor ,Integrin beta-3 ,Histone H2B type 1-B ,Complement component C8 beta chain ,Polyadenylate-binding protein 4 ,Calmodulin-like protein 6 ,C-C motif chemokine 18 ,Kinesin-like protein KIF2C ,Afamin ,Retinoic acid receptor responder protein 2 ,Fetuin-B ,Protein U58 ,Protein transport protein Sec24A ,Ficolin-3 ,Retinol dehydrogenase 14 ,Ig kappa chain V-II region TEW ,Core histone macro-H2A.1 ,Galectin-3-binding protein ,E3 ubiquitin-protein ligase TRAF7 ,Phosphatidylcholine-sterol acyltransferase ,Nucleosome assembly protein 1-like 1 ,Ig delta chain C region ,Ubiquitin-60S ribosomal protein L40 ,Phosphatidylinositol-5-phosphate 4-kinase type-2 alpha ,Insulin-like growth factor I ,Cartilage oligomeric matrix protein ,Sperm flagellar protein 2 ,Olfactory receptor 5F1 ,RNA-binding protein 8A ,Ig heavy chain V-III region JON ,Myosin-10 ,Amyloid beta A4 protein ,Symplekin ,Dermatopontin ,Moesin ,Ig kappa chain V-III region NG9 (Fragment) ,Mucin-16 ,Target of Nesh-SH3 ,Alpha-1-acid glycoprotein 2 ,Olfactory receptor 5L2 ,LIM and senescent cell antigen-like-containing domain protein 1 ,Transmembrane protease serine 6 ,Ig kappa chain V-I region Ni ,Glutathione peroxidase 3 ,Bridging integrator 2 ,PAS domain-containing serine/threonine-protein kinase ,Kallistatin ,Mannan-binding lectin serine protease 2 ,Azurocidin ,Elongation factor 1-alpha 1 ,Serine/threonine-protein kinase Nek11 ,Resistin ,Protein S100-A7 ,Ig kappa chain V-I region Wes ,Genome polyprotein ,Serine/threonine-protein kinase 33 ,Olfactory receptor 8G1 ,Nesprin-2 ,Tubulin alpha-1A chain ,Bile salt export pump ,Nuclear transcription factor Y subunit gamma ,Fibrillin-1 
Accession,P01024,P01834,P0C0L4,P02647,P01871,P01857,P02649,B9A064,P10909,P01876,P04004,Q14624,P01009,P04114,P00734,P0C0L5,P01766,P01008,P04196,P02652,P04003,P02766,P01860,P01023,P01859,P01620,P0CG05,P01042,P02656,P00739,P05154,P02743,P06396,P14136,P02787,Q92954,P55056,P08697,P08603,P06727,P01765,P19823,P12259,P04220,P10720,P05546,P49908,P35542,P68871,Q03591,P02735,O43866,P02749,P02776,P04406,P02748,P05155,P03951,P02654,P02765,P03952,O14791,P01877,P19827,P02760,P01591,P01861,P00738,P01011,P18428,P07225,P02655,Q13103,P22692,P00736,O75976,Q9P1Z9,P00748,Q04756,P00742,P02774,P02746,P00747,Q14520,P01763,P02747,P00751,P00740,P03950,P02790,P01764,Q96IY4,P01717,Q9Y490,Q9UK55,P09871,P27169,P02788,P06702,P69905,P04070,P20851,P10646,P18065,P39060,P01625,P00450,P22891,P08567,P01019,P35579,P02671,P04908,P81605,Q9BXR6,P05452,P15169,P01593,Q9BXN1,P80748,Q86UX7,P07996,P01344,Q13790,P08519,P06732,P08709,P05156,Q14393,P01597,P02763,Q02413,P00451,Q6Q788,P00746,P59665,P01596,O95810,Q6FI13,P02775,P01614,P05090,P05109,P04217,O00602,Q15485,Q06033,P02741,P27918,P62834,P25311,P14618,P10643,P13671,P01743,P24593,P49913,P14625,Q13546,P36980,P12273,P35858,Q96PD5,P01700,Q5D862,P23528,P06681,P01714,P51884,Q9UEW3,Q96NZ9,P15924,P06435,P02745,P61626,P16112,O95445,P08514,Q914N2,Q99467,P01825,P34096,P02751,P14923,P07357,P01781,P01031,P17936,A6NL26,O14786,P01034,P48740,P36955,P05106,P33778,P07358,Q13310,Q8TD86,P55774,Q99661,P43652,Q99969,Q9UGM5,P24437,O95486,O75636,Q9HBH5,P01617,O75367,Q08380,Q6Q0C0,P04180,P55209,P01880,P62987,P48426,P05019,P49747,Q9C093,O95221,Q9Y5S9,P01780,P35580,P05067,Q92797,Q07507,P26038,P01621,Q8WXI7,Q7Z7G0,P19652,Q8NGL0,P48059,Q8IU80,P01613,P22352,Q9UBW5,Q96RG2,P29622,O00187,P20160,P68104,Q8NG66,Q9HD89,P31151,P01611,P03303,Q9BYT3,Q15617,Q8WXH0,Q71U36,O95342,Q13952,P35555
G15.AC,145,23,54,9,33,29,169,7,25,16,66,5,13,157,122,3,1,221,87,6,63,4,10,23,7,3,14,40,0,4,21,62,13,0,0,46,0,2,43,0,1,18,8,1,3,15,6,0,0,4,0,0,0,0,3,11,8,27,0,0,0,3,2,7,0,0,1,0,1,0,6,0,5,0,23,1,0,9,0,0,0,16,1,0,0,16,0,0,5,0,2,5,1,15,0,20,0,21,0,0,0,3,4,0,0,0,0,0,0,0,10,0,0,0,26,0,1,0,3,0,3,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,6,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G15.AHT,57,42,145,21,48,41,5,7,14,30,57,13,44,56,694,20,2,124,5,8,335,11,3,12,3,3,14,0,1,5,0,7,1,0,12,0,0,9,0,3,2,14,7,15,1,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,13,3,1,5,0,0,180,0,8,0,1,0,0,0,0,217,2,0,0,0,1,0,0,134,0,0,0,0,0,0,9,0,0,0,0,0,64,21,2,0,3,0,0,36,7,2,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,26,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
G15.Ala.SH,101,7,22,7,10,4,134,2,11,7,106,3,8,21,154,2,0,390,39,13,0,6,2,11,0,0,0,21,0,0,13,20,3,1,0,11,0,9,0,0,0,4,0,1,8,20,4,0,0,7,0,0,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,5,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G15.Asn.SH,107,15,20,9,19,6,129,7,7,8,90,5,4,33,134,3,1,364,51,8,2,5,1,6,1,0,6,22,0,0,15,68,6,0,0,11,0,7,9,0,0,0,0,1,5,12,2,0,0,13,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,16,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G15.AUT,58,35,130,30,39,15,29,6,19,22,226,6,47,56,536,13,1,102,4,8,239,58,5,13,2,0,6,0,1,5,3,5,0,0,5,0,0,18,0,13,1,26,14,10,0,5,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,14,2,4,0,0,0,0,121,9,9,0,0,0,0,0,0,110,3,0,0,48,0,0,0,63,0,0,0,0,0,0,1,0,0,0,0,0,53,14,2,0,2,0,1,46,8,1,0,0,0,0,0,0,0,0,0,0,0,17,2,0,0,0,18,0,2,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G15.CALNN,66,9,52,13,10,22,16,5,12,12,82,34,15,0,214,2,2,281,109,0,0,5,7,18,3,0,7,86,0,2,50,103,8,1,2,47,0,4,6,0,1,8,8,0,4,16,3,0,0,6,0,1,20,1,2,0,0,26,0,0,37,0,2,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,6,0,0,18,0,4,0,0,3,0,0,0,0,0,37,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,4,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
G15.CIT,233,53,71,33,21,59,22,25,14,36,68,118,12,14,45,0,4,156,35,5,19,2,13,20,12,8,22,137,11,0,52,2,45,0,52,23,6,11,79,11,1,10,0,0,0,4,1,0,0,8,1,0,60,0,0,0,15,35,5,15,27,0,0,5,0,0,1,0,8,4,0,1,0,0,0,0,0,4,1,0,8,1,6,0,0,3,16,0,0,22,2,0,1,0,0,1,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,2,0,0,0,11,0,1,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G15.cPEG5K.SH,90,42,41,20,16,23,26,14,21,35,21,143,10,0,7,0,1,9,21,0,10,2,8,14,4,4,13,109,21,0,22,0,42,0,2,18,10,0,100,10,1,0,9,4,5,0,0,3,0,21,11,0,63,2,0,0,17,19,6,3,23,0,0,0,0,1,0,0,3,3,0,0,0,0,8,0,0,8,0,0,1,0,0,0,0,0,6,0,0,2,0,0,1,0,0,4,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,12,5,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
